Reference Designators,MPN,Quantity,Value,Description,Package,Notes,Original MPN,Original Comment,Source Row,Quantity for 5,Manufacturer,Sourcing Status,Lifecycle,Supplier,Customer Supplied,Substitution Allowed
"C1, C26, C33, C66, C79, C121, C127",GRJ155R61A475ME11J,7,4.7u,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 MLCC X5R 4.7 uF +/ -20% 10V,MURATA 0402,Exact MPN; no automatic substitution.,GRJ155R61A475ME11J,4.7u,2,35,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"C3, C14, C21, C23, C27, C28, C30",LMK105BJ105MVHF,7,1u,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 10VDC 1uF 20% X5R,MURATA 0402,Exact MPN; no automatic substitution.,LMK105BJ105MVHF,1u,3,35,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"C5, C7, C9, C10, C17, C34, C36, C65, C68, C69, C71, C72, C73, C74, C81, C86, C89, C119, C120",0402YD104KAT2A,19,100n,Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V .1uF X5R 0402 10%,MURATA 0402,Exact MPN; no automatic substitution.,0402YD104KAT2A,100n,4,95,,Not reverified; exact MPN required,Not reverified,,TBD,NO
C11,0402N2R2B500CT,1,2.2p,"Multilayer Ceramic Capacitors MLCC - SMD/SMT, 0402 2.2pF +-0.1% 50V",MURATA 0402,Exact MPN; no automatic substitution.,0402N2R2B500CT,2.2p,5,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"C12, C20",0402N1R8B500CT,2,1.8p,"Multilayer Ceramic Capacitors MLCC - SMD/SMT, 0402 1.8pF +-0.1% 50V",MURATA 0402,Exact MPN; no automatic substitution.,0402N1R8B500CT,1.8p,6,10,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"C13, C15, C35, C37, C38, C41, C42, C43, C47, C48, C49, C50, C51, C54, C55, C56, C57, C60, C61, C62, C64, C70, C75, C77, C78, C82, C83, C84, C85, C90, C93, C95, C96, C99, C129, C130, C131, C132",GRM1555C2A102JE01D,38,1n,Multilayer Ceramic Capacitors MLCC 1000pF ±5% 100V C0G 0402,MURATA 0402,Exact MPN; no automatic substitution.,GRM1555C2A102JE01D,1n,7,190,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"C16, C24, C25, C39, C63, C87, C103, C105, C106, C107, C112, C116, C118, C125, C126",C0402C330J5GAC,15,33p,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50V 33pF C0G 0402 5%,MURATA 0402,Exact MPN; no automatic substitution.,C0402C330J5GAC,33p,8,75,,Not reverified; exact MPN required,Not reverified,,TBD,NO
C19,GCM1555C1HR80WA16D,1,0.8p,"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 0pF 50volts C0G, 0.8pF",MURATA 0402,Exact MPN; no automatic substitution.,GCM1555C1HR80WA16D,0.8p,9,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
C22,0402N150J500CT,1,15p,"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 15pF 50volts, C0G",MURATA 0402,Exact MPN; no automatic substitution.,0402N150J500CT,15p,10,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"C31, C32, C67, C102, C111, C115, C117",GRM1555C1E103JE01J,7,10n,"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402, 0.01UF 25V C0G",MURATA 0402,Exact MPN; no automatic substitution.,GRM1555C1E103JE01J,10n,11,35,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"C45, C46, C58, C59, L8, L17, R32",CRCW04020000Z0EDC,7,0 Ohms,0 Ohms jumper resistor 0402,"MURATA 0402, MURATA 0402, MURATA 0402, MURATA 0402, CoilCraft 0402, CoilCraft 0402, PANASONIC 0402",Exact MPN; no automatic substitution.,CRCW04020000Z0EDC,0 Ohms,12,35,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"C76, C88, C91, C94, C100, C101",C0402C101J5GACTU,6,100p,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 100pF +/-0.05,MURATA 0402,Exact MPN; no automatic substitution.,C0402C101J5GACTU,100p,13,30,,Not reverified; exact MPN required,Not reverified,,TBD,NO
"C109, C110",GRM1555C1H331JA01D,2,330p,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 330pF 50volts C0G 5%,MURATA 0402,Exact MPN; no automatic substitution.,GRM1555C1H331JA01D,330p,14,10,,Not reverified; exact MPN required,Not reverified,,TBD,NO
C113,0402N181F500CT,1,180p,Multilayer Ceramic Capacitors MLCC - SMD/SMT 180pF 50V 1% 0402 NPO,MURATA 0402,Exact MPN; no automatic substitution.,0402N181F500CT,180p,15,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
C114,04025A8R2BAT2A,1,8.2p,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 8.2pF C0G 0402 .1pF Tol,MURATA 0402,Exact MPN; no automatic substitution.,04025A8R2BAT2A,8.2p,16,5,,Not reverified; exact MPN required,Not reverified,,TBD,NO
