Reference Designators,MPN,Quantity,Value,Description,Package,Notes
"C1, C26, C33, C66, C79, C121, C127",GRJ155R61A475ME11J,7,4.7u,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 MLCC X5R 4.7 uF +/ -20% 10V,MURATA 0402,Exact MPN; no automatic substitution.
"C3, C14, C21, C23, C27, C28, C30",LMK105BJ105MVHF,7,1u,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 10VDC 1uF 20% X5R,MURATA 0402,Exact MPN; no automatic substitution.
"C5, C7, C9, C10, C17, C34, C36, C65, C68, C69, C71, C72, C73, C74, C81, C86, C89, C119, C120",0402YD104KAT2A,19,100n,Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V .1uF X5R 0402 10%,MURATA 0402,Exact MPN; no automatic substitution.
C11,0402N2R2B500CT,1,2.2p,"Multilayer Ceramic Capacitors MLCC - SMD/SMT, 0402 2.2pF +-0.1% 50V",MURATA 0402,Exact MPN; no automatic substitution.
"C12, C20",0402N1R8B500CT,2,1.8p,"Multilayer Ceramic Capacitors MLCC - SMD/SMT, 0402 1.8pF +-0.1% 50V",MURATA 0402,Exact MPN; no automatic substitution.
"C13, C15, C35, C37, C38, C41, C42, C43, C47, C48, C49, C50, C51, C54, C55, C56, C57, C60, C61, C62, C64, C70, C75, C77, C78, C82, C83, C84, C85, C90, C93, C95, C96, C99, C129, C130, C131, C132",GRM1555C2A102JE01D,38,1n,Multilayer Ceramic Capacitors MLCC 1000pF ±5% 100V C0G 0402,MURATA 0402,Exact MPN; no automatic substitution.
"C16, C24, C25, C39, C63, C87, C103, C105, C106, C107, C112, C116, C118, C125, C126",C0402C330J5GAC,15,33p,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50V 33pF C0G 0402 5%,MURATA 0402,Exact MPN; no automatic substitution.
C19,GCM1555C1HR80WA16D,1,0.8p,"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 0pF 50volts C0G, 0.8pF",MURATA 0402,Exact MPN; no automatic substitution.
C22,0402N150J500CT,1,15p,"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 15pF 50volts, C0G",MURATA 0402,Exact MPN; no automatic substitution.
"C31, C32, C67, C102, C111, C115, C117",GRM1555C1E103JE01J,7,10n,"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402, 0.01UF 25V C0G",MURATA 0402,Exact MPN; no automatic substitution.
"C45, C46, C58, C59, L8, L17, R32",CRCW04020000Z0EDC,7,0 Ohms,0 Ohms jumper resistor 0402,"MURATA 0402, MURATA 0402, MURATA 0402, MURATA 0402, CoilCraft 0402, CoilCraft 0402, PANASONIC 0402",Exact MPN; no automatic substitution.
