Designator,X (mm),Y (mm),Rotation,Side
R35,318.471804,188.183774,0.00,Top
C132,298.418504,201.213974,270.00,Top
C131,292.652704,201.213974,270.00,Top
C130,298.418504,196.972174,90.00,Top
C129,293.795704,199.029574,180.00,Top
R32,316.173104,204.109574,180.00,Bottom
C77,311.194704,195.905374,0.00,Top
C75,284.067504,201.315574,270.00,Top
C32,313.963304,202.331574,90.00,Bottom
C25,316.789105,186.780373,270.00,Top
R6,317.366904,187.878974,90.00,Bottom
R14,290.214304,186.989974,0.00,Bottom
J7,278.758396,194.051174,270.00,Top
C19,317.914299,203.603377,270.00,Bottom
C20,317.564313,198.003363,270.00,Bottom
C21,313.961907,189.891365,90.00,Bottom
C22,318.179704,191.358774,90.00,Bottom
C33,301.136304,199.588374,90.00,Top
C79,271.748504,199.461374,90.00,Bottom
C87,281.333118,197.018148,0.00,Bottom
C88,281.339315,197.878370,0.00,Bottom
C89,281.339315,198.753374,0.00,Bottom
C91,287.864296,194.203371,180.00,Top
C94,283.511244,202.867514,180.00,Top
C95,287.810143,203.636982,180.00,Top
C101,274.161504,205.036674,0.00,Bottom
C100,285.914313,193.353385,0.00,Bottom
C105,278.339296,191.028371,0.00,Bottom
C106,276.964318,189.803380,270.00,Bottom
C107,278.339296,192.003375,0.00,Bottom
C111,271.570704,198.115174,180.00,Bottom
C112,271.570704,197.251574,180.00,Bottom
C35,302.457104,199.181974,0.00,Top
C54,291.738304,201.213974,270.00,Top
C43,302.564317,202.803379,0.00,Top
C34,303.764315,199.703385,270.00,Top
C57,299.358304,196.972174,90.00,Top
C65,305.097891,199.720784,270.00,Top
C46,309.035704,199.385174,180.00,Top
C42,307.985135,201.511992,180.00,Top
C59,309.035704,198.127874,0.00,Top
C58,300.323504,196.972174,90.00,Top
C56,300.374304,200.680574,180.00,Bottom
C63,306.464310,199.103361,0.00,Top
C60,301.644304,197.403974,180.00,Top
C62,306.419504,196.133974,180.00,Top
C55,292.170104,197.048374,180.00,Top
C41,301.568104,201.620374,0.00,Top
C45,300.247304,200.451974,90.00,Top
C64,306.470304,199.943974,180.00,Top
C39,302.457104,199.994774,0.00,Top
C61,307.260142,197.236994,0.00,Top
C51,290.544504,200.655174,90.00,Top
C49,290.544504,197.276974,270.00,Top
C103,278.339296,192.978380,0.00,Bottom
C90,289.381184,193.880994,90.00,Top
C118,274.401813,188.990859,270.00,Bottom
C113,272.301792,187.690862,0.00,Bottom
C117,273.601815,188.990859,270.00,Bottom
C85,287.242504,199.969374,0.00,Top
